color_strat_all,color_strat_green,color_strat_blue,color_strat_red,color_strat_yellow,color_strat_orange,color_strat_purple,color_strat_black,value_strat_pair,value_strat_single,value_strat_disparity,ruby_strat_save,ruby_strat_droplet,ruby_strat_flask,ruby_strat_balanced,flask_strat_three,flask_strat_risk,flask_strat_ruby,flask_strat_seventy,flask_strat_fifty,ex_prob_strat_high,ex_prob_strat_medium,ex_prob_strat_low,ex_prob_strat_very_low,ex_prob_strat_never,ex_round_strat_always,ex_round_strat_early,ex_round_strat_early_mid,ex_round_strat_mid,ex_round_strat_mid_late,ex_round_strat_late,exploded_strat_points,exploded_strat_money,exploded_strat_early,exploded_strat_mid,green-1,green-2,green-4,blue-1,blue-2,blue-4,red-1,red-2,red-4,yellow-1,yellow-2,yellow-4,orange-1,purple-1,black-1,green_count,blue_count,red_count,yellow_count,orange_count,purple_count,black_count,one_count,two_count,four_count,final_droplet_position,farthest_space_reached,explosion_count,player_a_vp,player_b_vp,margin,percent_dif,tie,player_a_won,run_id
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,3,4,4,1,4,0,0,3,4,4,15,1,0,12,28,1,49,33,16,1.47,0,1,19
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,4,2,3,1,4,0,0,4,2,3,11,3,0,5,24,2,29,34,-5,0.86,0,0,20
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,3,3,3,1,4,0,0,3,3,3,12,2,0,8,23,2,30,26,4,1.15,0,1,21
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,2,3,1,4,0,0,5,2,3,14,1,0,9,25,2,39,37,2,1.05,0,1,22
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,6,3,4,1,5,0,0,6,3,4,18,1,0,9,27,1,41,31,10,1.31,0,1,23
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,3,4,4,1,4,0,0,3,4,4,16,0,0,14,33,5,38,30,8,1.26,0,1,24
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,5,3,3,1,5,0,0,5,3,3,16,1,0,10,28,1,41,25,16,1.62,0,1,25
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,2,3,1,4,0,0,5,2,3,14,1,0,9,25,2,30,42,-12,0.72,0,0,26
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,5,3,4,1,5,0,0,5,3,4,17,1,0,9,29,1,40,31,9,1.28,0,1,27
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,5,2,3,1,5,0,0,5,2,3,16,0,0,10,27,2,39,35,4,1.11,0,1,28
